scn_name,line_id,bus0,bus1,type,carrier,x,r,g,b,s_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,build_year,lifetime,capital_cost,length,cables,terrain_factor,num_parallel,v_ang_min,v_ang_max,v_nom,geom,topo,Project,Project_id,Startpoint,subst_name1,bus_id_1,matching1%,matching2%,Coordinate0,Endpoint,subst_name2,bus_id_2,Cordinate1,Distance,Voltage,s_nom.1,NOVA-Type,Comments,Coordinate1,,,
50HzT-003,29301,33677,34267,,AC,,,,,,,,,1,2022,40,,72.6876426603714,3,,,,,,,,EnLAG,3,Neuenhagen,Umspannwerk Neuenhagen,33677,62.5,100,13.710158941385528 52.53912561098884,Vierraden,Vierraden,34267,14.2680688044471,53.0980593871553,72.68764266,380,,"Errichtung einer Leitung: Neubau in neuer Trasse;
Errichtung einer Lei-
tung: Ersatzneubau",,14.268068804447122 53.09805938715533,,
50HzT-003,29302,34267,31612,,AC,,,,,,,,,1,2022,40,,26.9583278245532,3,,,,,,,,EnLAG,3,Vierraden,Vierraden,34267,100,57.14,14.268068804447122 53.09805938715533,Bertikow,Umspannwerk Bertikow,31612,13.9570178736236,53.2521759067797,26.95832782,380,,"Errichtung einer Leitung: Neubau in neuer Trasse;
Errichtung einer Lei-
tung: Ersatzneubau",,13.957017873623581 53.25217590677972,,
50HzT-007,29303,33677,31372,,AC,,,,,,,,,1,2023,40,,52.1001517944162,3,,,,,,,,EnLAG,11,Neuenhagen  ,Umspannwerk Neuenhagen,33677,58.82,94.74,13.710158941385528 52.53912561098884,Wustemark,Wustermark,31372,12.9430406136458,52.5625656444631,52.10015179,380,,"Errichtung einer Leitung: Neubau in neuer Trasse;
Errichtung einer Lei-
tung: Ersatzneubau",,12.94304061364577 52.56256564446307,,
50HzT-P33,29304,31318,31320,,AC,,,,,,,,,1,2022,40,,44.4459056266677,3,,,,,,,,BBPIG,10,Wolmirstedt,Umspannwerk Wolmirstedt,31318,64.71,60,11.6401668419024 52.26899390911886,Helmstedt,Umspannwerk Helmstedt,31320,10.9993330708021,52.200142013707,44.44590563,380,2366.6MVA,Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung,Stromtragfähigkeit: 3600A,10.999333070802122 52.20014201370701,,
50HzT-P34,29305,32614,35265,,AC,,,,,,,,,1,2026,40,,58.1845308785885,,,,,,,,,BBPIG,39,Perleberg,Umspannwerk Perleberg,32614,60,61.11,11.852340511063945 53.08685484855226,Stendal/West,Umspannwerk Stendal West,35265,11.7269020449901,52.5695525307691,58.18453088,380,,Errichtung einer Lei- tung: Ersatzneubau,,11.72690204499007 52.56955253076913,,
50HzT-P34,29306,35265,31318,,AC,,,,,,,,,1,2026,40,,92.1360372871913,,,,,,,,,BBPIG,39,Stendal/West,Umspannwerk Stendal West,35265,61.11,68.57,11.72690204499007 52.56955253076913, Wolmirstedt,Umspannwerk Wolmirstedt,31318,11.6401668419024,52.2689939091189,92.13603729,380,,Errichtung einer Lei- tung: Ersatzneubau,,11.6401668419024 52.26899390911886,,
50HzT-P34,29307,32985,32614,,AC,,,,,,,,,1,2026,40,,58.1845308785885,,,,,,,,,BBPIG,39,Parchim / Süd,Umspannwerk Parchim,32985,43.75,60,11.8128737230406 53.42460616868441,Perleberg,Umspannwerk Perleberg,32614,11.8523405110639,53.0868548485523,58.18453088,380,,Errichtung einer Lei- tung: Ersatzneubau,,11.852340511063945 53.08685484855226,,
50HzT-P34,29308,34884,32985,,AC,,,,,,,,,1,2026,40,,48.6342558865379,,,,,,,,,BBPIG,39,Güstrow,Umspannstation Güstrow Umweltpark,34884,35,43.75,12.20669507272273 53.793518103553104,Parchim / Süd,Umspannwerk Parchim,32985,11.8128737230406,53.4246061686844,48.63425589,380,,Errichtung einer Lei- tung: Ersatzneubau,,11.8128737230406 53.42460616868441,,
50HzT-P36,29309,31612,35282,,AC,,,,,,,,,1,2025,40,,124.926549146203,,,,,,,,,BBPIG,11,Bertikow   ,Umspannwerk Bertikow,31612,51.61,100,13.957017873623581 53.25217590677972,Pasewalk,Pasewalk,35282,14.0336844930137,53.507523103743,124.9265491,380,,Errichtung einer Lei- tung: Ersatzneubau,,14.033684493013668 53.507523103743004,,
50HzT-P38,29310,34958,,,AC,,,,,,,,,1,2025,40,,,,,,,,,,,BBPIG,13,Pulgar,Umspannwerk Pulgar,34958,50,,12.337422954113398 51.19696836334348,Geußnitz (Abschnitt Ost),,,,,380,,Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung,Umbeseilung:HTLS,,,,
50HzT-P38,29311,33846,,,AC,,,,,,,,,1,2025,40,,,,,,,,,,,BBPIG,13,Geußnitz,Umspannwerk Sebnitz,33846,37.04,,14.250484366377401 50.96941478478351,Bad Sulza (Abschnitt Mitte),,,,,380,,Errichtung einer Lei- tung: Ersatzneubau,,,,,
50HzT-P38,29312,32331,34454,,AC,,,,,,,,,1,2025,40,,75.6213475819197,,,,,,,,,BBPIG,13,Bad Sulza,Bad Lauterberg,32331,43.48,50,10.501249663972661 51.6462151893568,Vieselbach (Abschnitt West),Eisenach/West,34454,10.2911425630916,50.9793743542492,75.62134758,380,,Errichtung einer Lei- tung: Ersatzneubau,,10.291142563091611 50.97937435424922,,
50HzT-P39,29313,30952,33517,,AC,,,,,,,,,1,2026,40,,279.426643671711,,,,,,,,,BBPIG,14,Röhrsdorf,Umspannwerk Röhrsdorf,30952,60,35,12.815082479900909 50.85868947882309,Weida (Abschnitt Ost),Umspannwerk Weidach,33517,13.33103245,48.3687976498484,279.4266437,380,,Errichtung einer Lei- tung: Ersatzneubau,,13.331032449999999 48.368797649848425,,
50HzT-P39,29314,34084,33608,,AC,,,,,,,,,1,2026,40,,39.3162932079481,,,,,,,,,BBPIG,14,Weida,Umspannwerk Weida,34084,45.45,56.41,12.045483740723734 50.780944014196685,Remptendorf (Abschnitt West),Remptendorf,33608,11.6463683227934,50.5348779951858,39.31629321,380,,Errichtung einer Lei- tung: Ersatzneubau,,11.646368322793366 50.53487799518581,,
50HzT- P180,29315,30931,31631,,AC,,,,,,,,,1,2030,40,,21.7788262817305,6,,,,,,,,,,Marzahn,Umspannwerk Marzahn,30931,53.85,66.67,13.524113150563279 52.53579367759632,Teufelsbruch,Umspannwerk Teufelsbruch,31631,13.2115276860004,52.5806278376622,21.77882628,380,,Errichtung einer Lei- tung: Ersatzneubau,,13.211527686000428 52.58062783766221,,
50HzT- P180,29316,31678,32172,,AC,,,,,,,,,1,2030,40,,319.672878749261,6,,,,,,,,,,Friedrichshain,Friedrichshain,31678,100,50,13.456433133865078 52.52145796286808,Mitte,Rendsburg Mitte,32172,9.69148367627051,54.3088007555686,319.6728787,380,,Errichtung einer Lei- tung: Ersatzneubau,,9.691483676270511 54.30880075556864,,
50HzT- P180,29317,32172,32374,,AC,,,,,,,,,1,2030,40,,312.357340092743,6,,,,,,,,,,Mitte,Rendsburg Mitte,32172,50,70,9.691483676270511 54.30880075556864,Charlottenburg,Umspannwerk Charlottenburg,32374,13.3155159120719,52.5219993936794,312.3573401,380,,Errichtung einer Lei- tung: Ersatzneubau,,13.315515912071856 52.52199939367935,,
50HzT- P180,29318,32374,32291,,AC,,,,,,,,,1,2030,40,,4.63769168878968,6,,,,,,,,,,Charlottenburg,Umspannwerk Charlottenburg,32374,70,50,13.315515912071856 52.52199939367935,Reuter,Umspannwerk Reuter,32291,13.2490303428088,52.5316251001052,4.637691689,380,,Errichtung einer Lei- tung: Ersatzneubau,,13.249030342808782 52.53162510010523,,
50HzT- P213,29319,34843,34545,,AC,,,,,,,,,1,2035,40,,374.236645652632,6,,,,,,,,EnLAG,12,DE,Umspannwerk Leipzig D,34843,8.7,8.33,12.36809780440618 51.327840038047846,PL,Station Schöppingen WP,34545,7.08975475937397,52.078209265494,374.2366457,380,,Errichtung einer Leitung: Neubau in neuer Trasse,,7.089754759373973 52.07820926549395,,
50HzT- P213,29320,32509,32509,,AC,,,,,,,,,1,2035,40,,0,,,,,,,,,EnLAG,12,Eisenhüttenstadt,Umspannwerk Eisenhüttenstadt,32509,72.73,72.73,14.603938187245118 52.174864548479,Eisenhüttenstadt,Umspannwerk Eisenhüttenstadt,32509,14.6039381872451,52.174864548479,0,380,,Errichtung einer Leitung: Neubau in neuer Trasse,,14.603938187245118 52.174864548479,,
50HzT- P221,29321,,33636,,DC,,,,,,,,,1,2026,40,,427.16332208956,,,,,,,,,BBP,69,DC-Kabel Hansa PowerBridge (HPB),,,,11.11,,,Umspannwerk Neustadt an der Donau,33636,11.7612565734905,48.7893176679472,427.1633221,380,700MW,Errichtung einer Leitung: Neubau in neuer Trasse,,11.761256573490533 48.78931766794723,,
50HzT- P450,29322,35254,34117,,AC,,,,,,,,,1,2022,40,,68.1234811515682,,,,,,,,,BBP,61,Ragow,Umspannwerk Ragow,35254,45.45,100,13.901128357714425 51.87617291731876,Streumen,Streumen,34117,13.3833631773804,51.3555898515283,68.12348115,,,horizontal,seilklemmentausch:höhere stromtragfähigkeit,13.38336317738044 51.355589851528315,,
AMP-001,29323,31853,31026,,AC,,,,,,,,,1,2023,40,,111.092430821688,12,,,,,,,,EnLAG,2,Wehrendorf,Wehrendorf,31853,100,50,8.307757038447726 52.34563570215149,Punkt Lemförde,Conneforde,31026,8.05281320194042,53.3319137814867,111.0924308,380,2629.6MVA,Errichtung einer Lei- tung: Ersatzneubau,neubau einerr leitung für vier stromkreise, Stromtragfähigkeit 4000A,8.052813201940419 53.33191378148668,
AMP-001,29324,31026,31825,,AC,,,,,,,,,1,2023,40,,30.0278402276506,,,,,,,,,EnLAG,2,Punkt Lemförde,Conneforde,31026,50,62.07,8.052813201940419 53.33191378148668, St. Hülfe,Station Sankt Hülfe,31825,8.40350236040683,52.6090760112451,30.02784023,380,2629.6MVA,Errichtung einer Lei- tung: Ersatzneubau,Stromtragfähigkeit 4000A,8.403502360406835 52.60907601124505,,
AMP-009,29325,31096,32979,,AC,,,,,,,,,1,2027,40,,447.290931296765,3,,,,,,,,EnLAG,5,Niederrhein,Station Niederrhein,31096,73.33,51.61,6.6807962637334715 51.646328801088394,Wettringen,Umspannwerk Wertingen,32979,10.6936672771006,48.5609949456442,447.2909313,380,,Errichtung einer Lei- tung: Ersatzneubau,,10.693667277100568 48.56099494564423,,
AMP-009,29326,31096,31296,,AC,,,,,,,,,1,2027,40,,384.127166527981,3,,,,,,,,EnLAG,5,Niederrhein,Station Niederrhein,31096,73.33,35,6.6807962637334715 51.646328801088394,Wettringen (Kabel),Umspannwerk Wendlingen,31296,9.40058183329796,48.6669673872187,384.1271665,380,,Errichtung einer Lei- tung: Ersatzneubau,teilverkabelung als Erdkabel,9.400581833297963 48.66696738721869,,
AMP-009,29327,32979,34613,,AC,,,,,,,,,1,2027,40,,129.739949319585,3,,,,,,,,EnLAG,5,Wettringen,Umspannwerk Wertingen,32979,51.61,100,10.693667277100568 48.56099494564423,Meppen,Meppen,34613,7.27715395908919,52.7532426180129,129.7399493,380,,Errichtung einer Leitung: Neubau in neuer Trasse,,7.277153959089187 52.75324261801293,,
AMP-010,29328,31637,32037,,AC,,,,,,,,,1,2021,40,,451.188159914131,3,,,,,,,,EnLAG,"16,18",Gaste,Graustein,31637,71.43,100,14.471920575633378 51.55412023622933,Lüstringen,Lüstringen,32037,8.10463905494261,52.2651043333788,451.1881599,380,,Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung,,8.104639054942613 52.26510433337879,,
AMP-010,29329,32037,31853,,AC,,,,,,,,,1,2021,40,,16.4999808950325,3,,,,,,,,EnLAG,"16,18",Lüstringen,Lüstringen,32037,100,100,8.104639054942613 52.26510433337879,Wehrendorf,Wehrendorf,31853,8.30775703844773,52.3456357021515,16.4999809,380,,Errichtung einer Lei- tung: Ersatzneubau,,8.307757038447726 52.34563570215149,,
AMP-010,29330,32037,32096,,AC,,,,,,,,,1,2021,40,,26.5803147670606,3,,,,,,,,EnLAG,16.18,Lüstringen,Lüstringen,32037,100,63.64,8.104639054942613 52.26510433337879,Hesseln,Station Hesseln,32096,8.31901326837784,52.0658920602165,26.58031477,380,,Errichtung einer Lei- tung: Ersatzneubau,,8.319013268377837 52.06589206021646,,
AMP-010,29331,32096,32409,,AC,,,,,,,,,1,2021,40,,343.687760517121,3,,,,,,,,EnLAG,"16,18",Hesseln,Station Hesseln,32096,63.64,30.77,8.319013268377837 52.06589206021646,Gütersloh,Umspannwerk Münstersche Straße,32409,13.3073134678362,52.493747124416,343.6877605,380,,Errichtung einer Lei- tung: Ersatzneubau,,13.307313467836156 52.493747124416,,
AMP-014,29332,32711,35129,,AC,,,,,,,,,1,2021,40,,420.296743098798,3,,,,,,,,EnLAG,"14,15",Punkt Fellerhöfe,Umspannwerk Lauterhofen,32711,35.9,68.75,11.599121468341334 49.39431927215067,Punkt St. Tönis,Station St. Tönis,35129,6.51871383081327,51.3238488953696,420.2967431,380,,Errichtung einer Lei- tung: Ersatzneubau,,6.518713830813268 51.32384889536959,,
AMP-014,29333,35129,33860,,AC,,,,,,,,,1,2021,40,,299.858670671581,3,,,,,,,,EnLAG,"14,15",Punkt St. Tönis,Station St. Tönis,35129,68.75,50,6.518713830813268 51.32384889536959,Punkt Hüls-West,Suhl/West,33860,10.633479541568,50.60563609596,299.8586707,380,,Errichtung einer Lei- tung: Ersatzneubau,stromkreisauflage,10.633479541568006 50.60563609595998,,
AMP-014,29334,30979,33860,,AC,,,,,,,,,1,2021,40,,297.810582171919,3,,,,,,,,EnLAG,"14,15",Utfort ,Station Utfort,30979,57.14,50,6.617199413011056 51.47583728028681,Punkt Hüls-West,Suhl/West,33860,10.633479541568,50.60563609596,297.8105822,380,,Errichtung einer Lei- tung: Ersatzneubau,,10.633479541568006 50.60563609595998,,
AMP-014,29335,31188,31421,,AC,,,,,,,,,1,2021,40,,19.7684131897487,3,,,,,,,,EnLAG,"14,15",Osterath,Station Osterath,31188,66.67,69.23,6.625829004351699 51.26061129731316,Gohrpunkt,Station Gohrpunkt,31421,6.70975594679981,51.090932471234,19.76841319,380,,Errichtung einer Lei- tung: Ersatzneubau,,6.709755946799809 51.09093247123397,,
AMP-014,29336,31421,31195,,AC,,,,,,,,,1,2021,40,,9.14586681687871,3,,,,,,,,EnLAG,"14,15",Gohrpunkt,Station Gohrpunkt,31421,69.23,70,6.709755946799809 51.09093247123397,Rommerskirchen,Umspannwerk Rommerskirchen,31195,6.70219495035854,51.0088601210679,9.145866817,380,,Errichtung einer Lei- tung: Ersatzneubau,,6.702194950358541 51.00886012106785,,
AMP-014,29337,30979,31188,,AC,,,,,,,,,1,2021,40,,19.7684131897487,3,,,,,,,,EnLAG,"14,15",Utfort ,Station Utfort,30979,57.14,66.67,6.617199413011056 51.47583728028681,Osterath,Station Osterath,31188,6.6258290043517,51.2606112973132,19.76841319,380,,Errichtung einer Lei- tung: Ersatzneubau,,6.625829004351699 51.26061129731316,,
AMP-014,29338,31829,32821,,AC,,,,,,,,,1,2021,40,,143.707477533605,3,,,,,,,,EnLAG,"14,15",Punkt Birkenhof,220 kV-Umspannwerk Birkenfeld,31829,45.45,72.73,8.641627910762603 48.89007089696151,Gellep,Melle,32821,8.33245497453251,52.2103833886586,143.7074775,380,,Errichtung einer Lei- tung: Ersatzneubau,,8.332454974532505 52.21038338865864,,
AMP-018,29339,31195,30904,,AC,,,,,,,,,1,2024,40,,30.3989735061696,3,,,,,,,,15,15,Rommerskirchen,Umspannwerk Rommerskirchen,31195,70,63.64,6.702194950358541 51.00886012106785,Sechtem,Station Sechtem,30904,6.97245987590036,50.7956372607853,30.39897351,380,,Errichtung einer Lei- tung: Ersatzneubau,,6.972459875900362 50.79563726078529,,
AMP-022,29340,30928,32246,,AC,,,,,,,,,1,2025,40,,116.976371112566,3,,,,,,,,EnLAG,19,Kruckel,Station Kruckel,30928,63.64,63.16,7.417051340500602 51.457221874784416,Ochsenkopf,Ossendorf,32246,9.09878467133596,51.5120745762445,116.9763711,380,,Errichtung einer Lei- tung: Ersatzneubau,,9.098784671335956 51.512074576244466,,
AMP-022,29341,32246,33982,,AC,,,,,,,,,1,2025,40,,82.8022812422432,3,,,,,,,,EnLAG,19,Ochsenkopf ,Ossendorf,32246,60,71.43,9.098784671335956 51.512074576244466,Dauersberg,Station Dauersberg,33982,7.86375884219725,50.7680885263367,82.80228124,380,,Errichtung einer Lei- tung: Ersatzneubau,,7.863758842197247 50.76808852633666,,
AMP-028,29342,31219,33348,,AC,,,,,,,,,1,2021,40,,146.797895934287,3,,,,,,,,,,Wanne,Station Wanne,31219,55.56,51.85,7.140650192920247 51.55724834807932,Günnigfeld,Station Hünenfeld,33348,7.545336031189,50.2627113530627,146.7978959,380,,Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung,,7.5453360311890005 50.262711353062706,,
AMP-028,29343,33800,33800,,AC,,,,,,,,,1,2021,40,,0,3,,,,,,,,,,Emscherbruch,Korschenbroich,33800,61.54,61.54,6.506614008567626 51.19848427756595,Emscherbruch,Korschenbroich,33800,6.50661400856763,51.198484277566,0,380,,für Dritte,,6.506614008567626 51.19848427756595,,
AMP-032,29344,31096,30979,,AC,,,,,,,,,1,2030,40,,19.4746700610011,3,,,,,,,,EnLAG,14,Niederrhein,Station Niederrhein,31096,73.33,60,6.6807962637334715 51.646328801088394,Utfort,Station Utfort,30979,6.61719941301106,51.4758372802868,19.47467006,380,,Errichtung einer Lei- tung: Ersatzneubau,,6.617199413011056 51.47583728028681,,
AMP-P21,29345,,33333,,AC,,,,,,,,,1,2027,40,,455.056555384354,,,,,,,,,BBPIG,6,Regelzonengrenze TTG/AMP,,,,66.67,,Merzen,Beuren,33333,8.86152579758899,47.8064353547178,455.0565554,380,,Errichtung einer Leitung: Neubau in neuer Trasse,,8.861525797588994 47.80643535471784,,
AMP-P41,29346,31621,33956,,AC,,,,,,,,,1,2024,40,,192.301618085176,,,,,,,,,BBPIG,15,Metternich,Umspannwerk Mitterteich,31621,48.48,75,12.230090323513434 49.938100002220494,Niederstedem,Station Niederstedem,33956,6.47506298271469,49.9226087849345,192.3016181,380,,Errichtung einer Lei- tung: Ersatzneubau,,6.475062982714686 49.92260878493446,,
AMP-P47,29347,30972,33804,,AC,,,,,,,,,1,2025,40,,22.0613988834601,,,,,,,,,BBPIG,19,Urberach ,Umspannwerk Urberach,30972,55.17,57.14,8.772275034667414 49.974574340406285,"Pfungstadt
",Umspannanlage Pfungstadt,33804,8.58859643159892,49.8156337215881,22.06139888,380,,"Errichtung einer Leitung: Neubau in neuer Trasse; Errichtung einer
Leitung: Ersatzneu- bau; Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung",teiweise neubau,8.588596431598917 49.815633721588135,,
AMP-P47,29348,33804,34195,,AC,,,,,,,,,1,2025,40,,49.0643931609452,,,,,,,,,BBPIG,19,"Pfungstadt
",Umspannanlage Pfungstadt,33804,57.14,57.14,8.588596431598917 49.815633721588135,Weinheim,Umspannwerk Weinheim,34195,8.62696325212251,49.5436055820419,49.06439316,380,,"Errichtung einer Leitung: Neubau in neuer Trasse; Errichtung einer
Leitung: Ersatzneu- bau; Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung",,8.626963252122508 49.543605582041856,,
AMP-P47a,29349,32082,31003,,AC,,,,,,,,,1,2024,40,,5.00089187232422,,,,,,,,,BBPIG,76,Punkt Kriftel,Umspannwerk Kriftel,32082,62.5,64.71,8.471763441204741 50.097320201311256,Punkt Marxheim,Umspannwerk Marxheim,31003,8.43517066491049,50.0590207030322,5.000891872,380,,Errichtung einer Leitung: Ersatzneu- bau, Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung,,8.435170664910492 50.05902070303217,
AMP-P47a,29350,34644,32902,,AC,,,,,,,,,1,2024,40,,480.175288235145,,,,,,,,,BBPIG,76,Punkt Hattersheim,Umspannwerk Hattersheim,34644,70,51.43,8.503833804793517 50.07400843258671, Farbwerke Höchst-Süd,Friedrichstadt,32902,9.10902141384337,54.3733685038646,480.1752882,380,,Leitungsneubau in bestehender 110kV-Trasse,,9.109021413843367 54.37336850386463,,
AMP-P52,29351,32925,31240,,AC,,,,,,,,,1,2024,40,,233.404683486951,,,,,,,,,BBPIG,24,Rommelsbach,Gummersbach,32925,72.73,66.67,7.556399353441878 51.01968501469646,Herbertingen,Umspannwerk Herbertingen,31240,9.42534407680648,48.0644397250324,233.4046835,380,,Errichtung einer Lei- tung: Ersatzneubau,,9.425344076806475 48.06443972503238,,
AMP-P52,29352,32174,35180,,AC,,,,,,,,,1,2024,40,,207.357324708679,,,,,,,,,BBPIG,25,Wullenstetten,110kV-Umspannwerk Achstetten,32174,39.02,91.67,9.877215004189015 48.26992468035188,Niederwangen,Niederlangen,35180,7.19456490471431,52.8698410647537,207.3573247,380,,Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung,Spannungsumstellung mit Stromkreisauflage,7.194564904714311 52.86984106475365,,
AMP-P154,29353,30906,30906,,AC,,,,,,,,,1,2023,40,,0,3,,,,,,,,,,Siegburg,Station Siegburg,30906,66.67,66.67,7.1924101684630415 50.798900164895514,Siegburg,Station Siegburg,30906,7.19241016846304,50.7989001648955,0,380,,Errichtung einer Leitung: Neubau in neuer Trasse,,7.1924101684630415 50.798900164895514,,
AMP-P310,29354,33900,32960,,AC,,,,,,,,,1,2025,40,,229.193637698436,,,,,,,,,,,Bürstadt,Station Bürstadt,33900,66.67,33.33,8.419373160819056 49.63371907511068,Kühmoos,Lastverteilung/Schaltanlage Kühmoos,32960,7.9580759143156,47.5954779452788,229.1936377,380,,Errichtung einer Leitung: Ersatzneu- bau, Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung,HTLS Umbeseilung, Spannungsumstellung ,7.958075914315599 47.59547794527875
AMP-P310,29355,33976,32960,,AC,,,,,,,,,1,2025,40,,229.193637698436,3,,,,,,,,,,Draxlanden,Karlsruhe-Daxlanden,33976,62.07,33.33,8.313340225406092 49.0090434723512,Kühmoos,Lastverteilung/Schaltanlage Kühmoos,32960,7.9580759143156,47.5954779452788,229.1936377,380,,Errichtung einer Leitung: Ersatzneu- bau, Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung,Zubeseilung,7.958075914315599 47.59547794527875,
AMP-P460,29356,31205,31205,,AC,,,,,,,,,1,2024,40,,0,,,,,,,,,,,Büscherhof ,Station Büscherhof,31205,68.97,68.97,6.926758989258765 51.49920569585058,Büscherhof ,Station Büscherhof,31205,6.92675898925877,51.4992056958506,0,380,,"Änderung oder Erweiterung einer Leitung: Zu- oder
Umbeseilung",Spannungsumstellung, beantragung der kapazitätseröhung auf 400MVA,6.926758989258765 51.49920569585058,
TTG-006,29357,31062,31544,,AC,,,,,,,,,1,2024,40,,158.052852965916,6,,,,,,,,EnLAG,6,Wahle,Wahle 380 kV,31062,58.82,100,10.365338662586142 52.28466156477866,Mecklar,Mecklar,31544,9.74602653032652,50.9174270688464,158.052853,380,,Errichtung einer Leitung: Neubau in neuer Trasse,Stromtragfähigkeit 4000A,9.746026530326525 50.9174270688464,,
TTG-007,29358,35432,33964,,AC,,,,,,,,,1,2024,40,,326.868835012864,6,,,,,,,,EnLAG,5,Dörpen / West,Umspannwerk Freising/West,35432,42.11,40,11.727421481025022 48.40777764876781,Niederrhein (Punkt Meppen),Umspannwerk Niederhausen,33964,7.79232558177691,49.8105162294106,326.868835,380,2366.6MVA,Errichtung einer Leitung: Neubau in neuer Trasse,Stromtragfähigkeit 3600A,7.79232558177691 49.81051622941055,,
TTG-009,29359,31114,31825,,AC,,,,,,,,,1,2023,40,,48.2828714856075,6,,,,,,,,EnLAG,2,Ganderkesee,Ganderkesee,31114,100,57.14,8.563991876746766 53.03191782682749,St. Hülfe,Station Sankt Hülfe,31825,8.40350236040683,52.6090760112451,48.28287149,380,2629.6MVA,Errichtung einer Leitung: Neubau in neuer Trasse,Stromtragfähigkeit 3300A,8.403502360406835 52.60907601124505,,
TTG-P21,29360,31026,32653,,AC,,,,,,,,,1,2026,40,,40.9524696397504,6,,,,,,,,,,Conneforde,Conneforde,31026,100,70.59,8.052813201940419 53.33191378148668,Garrel/ Ost,Garrel,32653,8.02725840803316,52.9642517322177,40.95246964,380,2629.6MVA,Errichtung einer Lei- tung: Ersatzneubau,Stromtragfähigkeit 4000A,8.027258408033157 52.96425173221768,,
